Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.01	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	840	285	33600.0	11400.0	35668978	12101974	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.01	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1330	343	53200.0	13720.0	48768040	12577021	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.02	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	314	98	12560.0	3920.0	13333403	4161380	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.02	<localized hint="Mercoxit">Mercoxit*</localized>	651	238	26040.0	9520.0	24339412	8898279	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.02	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	4134	1226	165360.0	49040.0	151584271	44954600	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.04	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	3707	931	148280.0	37240.0	157410600	39533118	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.04	<localized hint="Mercoxit">Mercoxit*</localized>	637	196	25480.0	7840.0	23815984	7327995	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.04	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	6902	2209	276080.0	88360.0	253080465	80998949	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.05	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	704	192	28160.0	7680.0	25814060	7040198	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.07	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1143	279	45720.0	11160.0	48535289	11847196	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.08	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	3600	1375	144000.0	55000.0	152867052	58386721	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.08	<localized hint="Mercoxit">Mercoxit*</localized>	286	241	11440.0	9640.0	10692890	9010442	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
