Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.02	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	492	328	19680.0	13120.0	20891830	13927886	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.02	<localized hint="Mercoxit">Mercoxit</localized>	487	275	19480.0	11000.0	18207824	10281625	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.02	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	7044	4326	281760.0	173040.0	258287278	158624470	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.03	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	835	451	33400.0	18040.0	35456663	19150844	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.03	<localized hint="Mercoxit">Mercoxit</localized>	835	514	33400.0	20560.0	31218754	19217293	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.04	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	857	510	34280.0	20400.0	36390850	21656165	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.04	<localized hint="Mercoxit">Mercoxit</localized>	491	304	19640.0	12160.0	18357375	11365869	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.04	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	8497	5296	339880.0	211840.0	311565446	194192139	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.05	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	388	191	15520.0	7640.0	16475671	8110446	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.05	<localized hint="Mercoxit">Mercoxit</localized>	902	531	36080.0	21240.0	33723732	19852884	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
2023.05.05	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit</localized>	3915	2699	156600.0	107960.0	143554045	98966122	<localized hint="VE-W7O">VE-W7O</localized>	17870	30001824
2023.05.06	<localized hint="Magma Mercoxit">Magma Mercoxit</localized>	1721	1010	68840.0	40400.0	73078943	42887700	<localized hint="VE-W7O">VE-W7O</localized>	17869	30001824
2023.05.06	<localized hint="Mercoxit">Mercoxit</localized>	861	542	34440.0	21680.0	32190835	20264149	<localized hint="VE-W7O">VE-W7O</localized>	11396	30001824
