Временная метка	Тип руды	Количество	Количество отходов	Объем	Объем отходов	Примерная цена	Примерная цена отходов	Звёздная система	Идентификатор типа руды	Идентификатор звёздной системы
2023.05.01	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	3145	1231	125800.0	49240.0	133546355	52272039	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.01	<localized hint="Mercoxit">Mercoxit*</localized>	630	100	25200.0	4000.0	23554269	3738773	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.01	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	4469	1527	178760.0	61080.0	163867951	55991577	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.03	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	1344	450	53760.0	18000.0	57070366	19108381	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.03	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	1340	553	53600.0	22120.0	49134717	20277238	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.05	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	8382	3517	335280.0	140680.0	355925452	149342617	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.05	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	5936	2638	237440.0	105520.0	217659467	96729392	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.06	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	2581	1250	103240.0	50000.0	109597183	53078837	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.06	<localized hint="Mercoxit">Mercoxit*</localized>	1826	610	73040.0	24400.0	68269994	22806515	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.06	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	2303	703	92120.0	28120.0	84445713	25777393	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.07	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	2343	934	93720.0	37360.0	99490973	39660507	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.07	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	8467	3448	338680.0	137920.0	310465415	126430229	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.08	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	2379	708	95160.0	28320.0	101019643	30063853	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.08	<localized hint="Mercoxit">Mercoxit*</localized>	866	350	34640.0	14000.0	32377774	13085705	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.08	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	4901	1715	196040.0	68600.0	179708397	62885105	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.09	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	600	395	24000.0	15800.0	25477842	16772912	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.09	<localized hint="Mercoxit">Mercoxit*</localized>	4098	1950	163920.0	78000.0	153214917	72906073	<localized hint="VE-W7O">VE-W7O*</localized>	11396	30001824
2023.05.09	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	11492	3865	459680.0	154600.0	421385208	141720660	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.10	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	4370	1600	174800.0	64000.0	185563615	67940912	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
2023.05.10	<localized hint="Vitreous Mercoxit">Vitreous Mercoxit*</localized>	2533	977	101320.0	39080.0	92879284	35824342	<localized hint="VE-W7O">VE-W7O*</localized>	17870	30001824
2023.05.11	<localized hint="Magma Mercoxit">Magma Mercoxit*</localized>	5701	2453	228040.0	98120.0	242081962	104161910	<localized hint="VE-W7O">VE-W7O*</localized>	17869	30001824
